// - комментарий
X:5557407.81 Y:3358368.77
X:5557426.75 Y:3358643.26
X:5557429.56 Y:3358687.57
X:5557307.91 Y:3358689.77
X:5557282.82 Y:3358688.04
X:5557256.92 Y:3358458.31
X:5557339.28 Y:3358409.64
// ВИКОС
X:5557256.92 Y:3358458.31
X:5557282.82 Y:3358688.04
X:5557230.94 Y:3358684.45
X:5557205.16 Y:3358681.26
X:5557183.05 Y:3358501.97
// ТОВ ГМ
X:5557183.05 Y:3358501.97
X:5557205.16 Y:3358681.26
X:5557142.84 Y:3358673.54
X:5557058.63 Y:3358666.19
X:5556939.46 Y:3358649.94
X:5556941.81 Y:3358643.88
X:5557128.99 Y:3358533.92
